Vendor Code,lat,lon
V1000000,1.357107,103.8194992
V1000017,1.357107,103.8194992
V1000030,1.357107,103.8194992
V1000117,1.357107,103.8194992
V1000121,1.357107,103.8194992
V1000150,1.357107,103.8194992
V1000151,1.357107,103.8194992
V1000178,1.357107,103.8194992
V1000184,1.357107,103.8194992
V1000188,1.357107,103.8194992
V1000197,1.357107,103.8194992
V1000211,1.357107,103.8194992
V1000213,1.357107,103.8194992
V1000221,1.357107,103.8194992
V1000243,1.357107,103.8194992
V1000322,1.357107,103.8194992
V1000337,1.357107,103.8194992
V1000348,1.357107,103.8194992
V1000408,1.357107,103.8194992
V1000465,1.4656778,103.8023838
V1000479,1.357107,103.8194992
V1000480,1.357107,103.8194992
V1000481,1.357107,103.8194992
V1000489,1.357107,103.8194992
V1000512,1.357107,103.8194992
V1000516,1.357107,103.8194992
V1000521,1.357107,103.8194992
V1000586,1.357107,103.8194992
V1000628,1.357107,103.8194992
V1000668,1.3317685,103.8931628
V1000691,1.357107,103.8194992
V1000707,1.357107,103.8194992
V1000734,1.357107,103.8194992
V1000760,1.357107,103.8194992
V1000767,1.357107,103.8194992
V1000801,1.357107,103.8194992
V1000852,1.357107,103.8194992
V1000899,1.357107,103.8194992
V10009621,1.357107,103.8194992
V1001025,1.357107,103.8194992
V1001056,1.357107,103.8194992
V1001061,1.357107,103.8194992
V1001109,1.357107,103.8194992
V1001164,1.357107,103.8194992
V1001174,1.357107,103.8194992
V1001175,1.357107,103.8194992
V1001181,1.357107,103.8194992
V1001193,1.357107,103.8194992
V1001227,1.357107,103.8194992
V1001248,1.357107,103.8194992
V1001255,1.357107,103.8194992
V1001268,1.357107,103.8194992
V1001279,1.357107,103.8194992
V1001291,1.357107,103.8194992
V1001323,1.357107,103.8194992
V1001332,1.357107,103.8194992
V1001390,1.357107,103.8194992
V1001430,1.357107,103.8194992
V1001473,1.2819115,103.8193146
V1001476,1.357107,103.8194992
V1001477,1.357107,103.8194992
V1001479,1.357107,103.8194992
V1001485,1.357107,103.8194992
V1001499,1.357107,103.8194992
V1001500,1.357107,103.8194992
V1001504,1.357107,103.8194992
V1001508,1.357107,103.8194992
V1001587,1.357107,103.8194992
V1001620,1.357107,103.8194992
V1001650,1.357107,103.8194992
V1001668,1.357107,103.8194992
V1001674,1.357107,103.8194992
V1001695,1.357107,103.8194992
V1001725,1.357107,103.8194992
V1001738,1.357107,103.8194992
V1001780,1.357107,103.8194992
V1001800,1.357107,103.8194992
V1001806,1.357107,103.8194992
V1001851,1.357107,103.8194992
V1001876,1.357107,103.8194992
V1001890,1.357107,103.8194992
V1001895,1.3370656,103.9106562
V1001929,1.357107,103.8194992
V1002050,1.3099671,103.8584405
V1002065,1.357107,103.8194992
V1002093,1.357107,103.8194992
V1002120,1.357107,103.8194992
V1002121,1.357107,103.8194992
V1002122,1.357107,103.8194992
V1002126,1.357107,103.8194992
V1002151,1.357107,103.8194992
V1002177,1.357107,103.8194992
V1002179,1.357107,103.8194992
V1002189,1.357107,103.8194992
V1002192,1.357107,103.8194992
V1002199,1.357107,103.8194992
V1002251,1.357107,103.8194992
V1002253,1.357107,103.8194992
V1002262,1.357107,103.8194992
V1002289,1.357107,103.8194992
V1002309,1.357107,103.8194992
V1002317,1.357107,103.8194992
V1002341,1.357107,103.8194992
V1002365,1.357107,103.8194992
V1002374,1.357107,103.8194992
V1002378,1.357107,103.8194992
V1002385,1.357107,103.8194992
V1002389,1.357107,103.8194992
V1002432,1.357107,103.8194992
V1002439,1.357107,103.8194992
V1002441,1.357107,103.8194992
V1002479,1.357107,103.8194992
V1002512,1.357107,103.8194992
V1002526,1.357107,103.8194992
V1002532,1.357107,103.8194992
V1002534,1.357107,103.8194992
V1002620,1.357107,103.8194992
V1002638,1.357107,103.8194992
V1002710,1.357107,103.8194992
V1002736,1.357107,103.8194992
V1002748,1.3335374,103.8937799
V1002769,1.357107,103.8194992
V1002771,1.357107,103.8194992
V1002815,1.357107,103.8194992
V1002837,1.357107,103.8194992
V1002857,1.357107,103.8194992
